point,Total Privacy Cost
577,0.0013980012205057825
241,0.0013991963129245794
377,0.001414719473993683
251,0.0014250238006606765
793,0.0014397244760689645
283,0.0014430682284814
952,0.0014771534841929272
367,0.0014772455230008846
617,0.0014845561877369579
669,0.001492875818458665
27,0.0014952922402776448
919,0.0014998993041642095
443,0.0015124925963857926
243,0.0015282045785386614
655,0.0015288117165160294
205,0.001530353032547039
747,0.001537332939405747
982,0.0015447717341173066
362,0.001545478487248243
107,0.0015508737725856503
128,0.0015554463720845904
261,0.001557480783842405
835,0.001558869394156763
73,0.0015665779085208464
415,0.0015778412139405315
114,0.001580658050329735
201,0.0015840770549153628
410,0.0015922216380732939
914,0.00159321535108521
612,0.001599492876771918
469,0.0016112170158689531
398,0.0016130122632883684
315,0.0016167852006385383
765,0.0016240592760867311
18,0.001627902931611825
57,0.0016295341491605058
101,0.0016400776649457447
347,0.001647332143532307
556,0.0016574658753237218
103,0.0016612627925291594
529,0.0016672669692350938
15,0.0016772219451474122
774,0.0016970981624381853
777,0.0016974806942382087
618,0.0017048219251301312
285,0.001713011930547761
519,0.0017157893470944297
559,0.0017303736625311097
791,0.0017401487155731166
963,0.001741185492275158
329,0.0017520565522585016
891,0.0017570030372114638
812,0.0017644690512060126
263,0.001774963121437503
724,0.0017760558951465757
609,0.0017870274734050676
166,0.0017910739339716088
372,0.001793875707497329
580,0.0017941573479643416
490,0.0018077959830857455
237,0.001831512734373685
534,0.0018407821809900736
521,0.001844659681592036
978,0.001845324199426476
585,0.0018590796605029675
526,0.0018643817168094705
936,0.0018645553035043258
637,0.0018700656110707521
839,0.0018872999775860445
402,0.0018903057128842402
962,0.0019004335830019067
783,0.0019118090589940317
593,0.0019295488253687997
824,0.0019391065291471839
941,0.0019526398541266136
21,0.0019561836408469877
170,0.00195650036055997
193,0.00197112243692219
564,0.00198214899000526
725,0.0020098316250458264
636,0.00201780208137826
598,0.0020271078656089753
689,0.0020325155569098047
575,0.002039087212467209
213,0.002044252865316415
492,0.002051636766900287
975,0.002063213062809664
296,0.0020655827875447745
671,0.0020719711449004065
165,0.0020726033031136294
339,0.0020935350615089807
209,0.0021136158360708585
301,0.0021137597854797106
733,0.002117758955399701
800,0.0021216406999941626
411,0.0021512960561525948
78,0.0021656006837224373
108,0.002168409836901309
890,0.002184351667207245
83,0.0021876147444593276
762,0.0021885456956691313
683,0.0021904980920075313
162,0.0021923771922578955
672,0.002201621643418701
590,0.0022022810294333325
853,0.002206077918567593
856,0.002211839057870737
177,0.0022142872443931616
645,0.002230963397326589
538,0.002231807063651004
164,0.0022397978583145097
227,0.002239891301848487
331,0.00224529703725787
307,0.002251018054355411
51,0.0022637051122535016
357,0.002264150038218189
126,0.0023136656123842144
32,0.0023198124820659758
416,0.002320691799516171
990,0.0023289848401390756
938,0.002342818001205767
366,0.002345927094238831
337,0.00234956447511036
112,0.0023620674933373673
413,0.0023672787074474418
709,0.0023707730308032663
215,0.0023767016643622403
584,0.002391529089993226
599,0.0023960517491091447
703,0.002401324417673482
66,0.0024037748930712207
510,0.002417318140382286
298,0.0024212091802539378
927,0.0024256289722050196
23,0.002426162596880631
552,0.002428148775764549
20,0.002428904544861696
252,0.0024289087003814148
439,0.002434580968286776
621,0.0024425262071099785
323,0.002447553928068445
211,0.002455783677793844
983,0.002462593970529773
319,0.002473616842207562
911,0.0024835848844368827
802,0.0024872932028267617
277,0.0024898969918300006
817,0.0024975600761907163
482,0.0025002311991323164
358,0.002505883649864469
764,0.0025162022613362065
638,0.0025269352957287303
755,0.0025278503651675922
104,0.002536725538439126
186,0.002538807757355131
210,0.0025397576377170833
59,0.0025497863178157738
691,0.0025563117364649003
821,0.002564337761572116
100,0.002569382827686843
375,0.00257692937222614
130,0.0025886456955002204
276,0.002590078213773113
399,0.0025921240842335627
450,0.002599448025724333
106,0.002607605186177684
197,0.002609584645180673
264,0.002634740022667986
183,0.0026432207245461383
743,0.002643912922613852
426,0.002646513810206651
742,0.0026484660048185305
823,0.002649241164599054
395,0.002655168436797086
833,0.002666938424837316
345,0.002674643285674237
457,0.0026802610791983395
350,0.0026833718493461272
953,0.002685908989737402
744,0.0026977979536072527
55,0.0027033344319456524
732,0.0027136874415951227
734,0.0027166803215951845
803,0.002723431347889454
334,0.002723696497922429
225,0.002725365476203063
613,0.0027287377308536174
822,0.002736627479501647
862,0.002742528292084174
477,0.0027442932823257323
84,0.0027473415526056495
453,0.002751790286643108
830,0.0027536485037853134
944,0.0027545849858149627
789,0.0027551608713420462
146,0.002756680314994004
143,0.0027639128791915957
438,0.002771708958379857
901,0.002775512617536431
179,0.002775537087381347
361,0.0027784453095818767
449,0.0027796801199794436
572,0.002785153263087028
369,0.00279184165883675
881,0.00279794503098179
223,0.002798134883927694
834,0.0028065394732958403
118,0.002813544596889793
351,0.0028175141248772836
45,0.0028222893321443528
632,0.0028367125694550976
681,0.0028378394021634427
928,0.002838000913555223
190,0.002866036288233267
159,0.002866408413132745
10,0.002883538375337795
474,0.002884625176443246
984,0.0028910952032638547
654,0.0028997824165625237
105,0.0029075381251627555
949,0.0029369051600792893
520,0.002943510324631835
79,0.0029494797113234217
36,0.0029505756506999336
769,0.002955894889349518
591,0.002993547598399997
753,0.0029945941969580572
